Bigass NES Mapper List 0.1 - This document is intended to serve as some sort
of master list for ROMs.  For example, say you find something set to the
wrong mapper, but you have no idea where it should be - check here and save
yourself time.

What it is - A damn near complete list of all the .NES format ROMs out there,
             with a proverbial buttload of entries (don't feel like counting)
             and mapper info for each.  

What it's not - Entirely complete.  There's a rather large number of Japanese
                ROMs missing from this list (Hi, Keropi!) but I don't feel
                that their absence is that big of a deal, considering that
                those particular ROMs are only in the hands of a -very- few
                people.  Consider this a complete list for "findable" ROMs.
                Also, the mirroring info given isn't always to be trusted.
                These just happen to be what mine are set on, so if one doesn't
                work, flip it.

Suggestions - If you have some suggestions for the list, mail me at the address
              below.  Should I divide these up into US/Japanese/Euro, or leave
              it like it is?  Also, what about FDS games - any use in adding
              those?

If you have any questions or whatnot, you can mail me at lugnut@hotmail.com


-

Title                           Size                Mirroring   Mapper
Kyoro-chan Land                 128k PRG / 0k CHR       H       UNROM (2)
Kyoto Hana no Missutu Satsujin Jiken    128k PRG / 128k CHR     V       MMC3 (4)
Kyoto Sesupensu Misa Yamamura Satsujin Jiken    128k PRG / 128k CHR     V       MMC3 (4)
Kyuukyoku Stadium               128k PRG / 128k CHR     H       Taito X117 (82)
Kyuukyoko Harikiri Stadium      128k PRG / 256k CHR     H       Taito X117 (82)
Kyuukyoku Harikiri Stadium 3    128k PRG / 256k CHR     H       Taito X117 (82)
Kyuukyoku Tiger			128k PRG / 128k CHR	V	MMC3 (1)


L'Emperuer                      256k PRG / 128k CHR     H       MMC5 (5)
Labyrinth                       128k PRG / 0k CHR       V       UNROM (2)
Lagrange Point                  512k PRG / 0k CHR       H       VRC7 (85)
Laser Invasion                  128k PRG / 128k CHR     H       MMC5 (5)
Last Armageddon                 512k PRG / 0k CHR       V       MMC3 (4)
Last Ninja, The                 128k PRG / 128k CHR     H       MMC3 (4)
Last Starfighter, The           32k PRG / 32k CHR       H       CNROM (3)
Law of the West                 128k PRG / 0k CHR       H       UNROM (2)
Layla                           128k PRG / 0k CHR       V       UNROM (2)
Lee Trevino's Fighting Golf     128k PRG / 128k CHR     H       MMC1 (1)
Legacy of the Wizard            128k PRG / 64k CHR      H       MMC3 (4)
Legend of Kage, The (J)         32k PRG / 16k CHR       H       CNROM (3)
Legend of the Ghost Lion, The   128k PRG / 128k CHR     H       MMC1 (1)
Legend of Zelda, The            128k PRG / 0k CHR       H       MMC1 (1)
Legend of Zelda (-1 PRG Rev.)   128k PRG / 0k CHR       H       MMC1 (1)
Legendary Wings                 128k PRG / 0k CHR       V       UNROM (2)
Legends of the Diamond          128k PRG / 256k CHR     H       MMC3 (4)
Lemmings                        128k PRG / 128k CHR     H       MMC1 (1)
Life Force                      128k PRG / 0k CHR       V       UNROM (2)
Linus Spacehead                 256k PRG / 0k CHR       V       Camerica (71)
Linus Spacehead [Aladdin Ver.]  256k PRG / 0k CHR       V       Camerica (71)
Lion King, The                  256k PRG / 0k CHR       H       AOROM (7)
Lipple Island                   128k PRG / 0k CHR       V       UNROM (2)
Little League Baseball          128k PRG / 128k CHR     H       MMC1 (1)
Little Mermaid, The             128k PRG / 0k CHR       V       UNROM (2)
Little Mermaid, The (J)         128k PRG / 0k CHR       V       UNROM (2)
Little Nemo The Dream Master    128k PRG / 128k CHR     H       MMC3 (4)
Little Ninja Brothers           128k PRG / 128k CHR     H       MMC3 (4)
Lode Runner (J)                 16k PRG / 8k CHR        V       ---- (0)
Lone Ranger, The                256k PRG / 128k CHR     H       MMC3 (4)
Loopz                           128k PRG / 0k CHR       H       UNROM (2)
Lord of King, The               128k PRG / 128k CHR     H       SS8806 (18)
Lost Word of Jenny, The         128k PRG / 0k CHR       V       UNROM (2)
Lot Lot                         32k PRG / 8k CHR        H       ---- (0)
Low G Man                       128k PRG / 128k CHR     H       MMC3 (4)
Lunar Ball                      16k PRG / 8k CHR        V       ---- (0)
Lupin 3rd Pandra Nolsan         128k PRG / 64k CHR      V       MMC3 (4)


Mach Rider                      32k PRG / 8k CHR        H       ---- (0)
Macross                         16k PRG / 8k CHR        V       ---- (0)
Mad City                        128k PRG / 128k CHR     H       MMC1 (1)
Mad Max                         128k PRG / 96k CHR      H       MMC3 (4)  <--probably a bad dump
Mag Max                         32k PRG / 32k CHR       V       CNROM (3)
Mag Max (J)                     32k PRG / 8k CHR        H       ---- (0)
Magic Darts			128k PRG / 128k CHR	H	MMC1 (1)
Magic John                      128k PRG / 128k CHR     H       SS8806 (18)
Magic Johnson's Fast Break	128k PRG / 128k CHR	H	MMC1 (1)
Magic of Scherezade, The        128k PRG / 128k CHR     V       MMC1 (1) 
Magical Doropie			128k PRG / 128k CHR	V	MMC3 (4)
Magical Taruruto-Kun            128k PRG / 128k CHR     H       Bandai (16)
Magical Taruruto-Kun 2          128k PRG / 128k CHR     H       Bandai (16)
Magician                        128k PRG / 128k CHR     H       MMC3 (4)
Magunamu Kikiipatu              128k PRG / 0k CHR       V       UNROM (2)
Maharaja                        128k PRG / 128k CHR     H       Sunsoft 4 (68)
Mahou no Princess Minky Momo    128k PRG / 128k CHR     V       MMC1 (1)
Maijin Eiyuuden Wataru Gaiden   256k PRG / 0k CHR       H       MMC1 (1)
Maison Ikkoku                   256k PRG / 0k CHR       H       UNROM (2)
Majaventure                     128k PRG / 128k CHR     H       MMC1 (1)
Major League                    128k PRG / 128k CHR     V       TC0190 / TC0350 (33)
Major League Baseball           32k PRG / 32k CHR       V       CNROM (3)
Majyan RPG Dora Dora Dora	128k PRG / 128k CHR	H	MMC1 (1)
Majyou Densetsu 2               128k PRG / 0k CHR       V       UNROM (2)  
Makaimura                       128k PRG / 0k CHR       H       UNROM (2)
Maniac Mansion                  256k PRG / 0k CHR       V       MMC1 (1)
Maniac Mansion (J)              256k PRG / 0k CHR       V       UNROM (2)
Maniac Mansion (PAL)            256k PRG / 0k CHR       H       MMC1 (1)
Mappy                           16k PRG / 8k CHR        V       ---- (0)
Mappy Kids                      128k PRG / 128k CHR     H       Namcot 106 (19)
Mappy Land                      128k PRG / 32k CHR      H       MMC3 (4)
Mappy Land (J)                  128k PRG / 32k CHR      V       MMC3 (4)
Marble Madness                  128k PRG / 0k CHR       V       AOROM (7)
Marble Madness (PAL)            128k PRG / 0k CHR       H       AOROM (7)
Mario Bros                      16k PRG / 8k CHR        V       ---- (0)
Mario China                     32k PRG / 32k CHR       V       CNROM (3)
Mario is Missing                128k PRG / 128k CHR     H       MMC3 (4)        
Mario Open Golf                 256k PRG / 0k CHR       H       MMC1 (1)
Mario's Time Machine            128k PRG / 128k CHR     H       MMC3 (4)
Marusa no Onna                  128k PRG / 128k CHR     H       MMC1 (1)
Master Chu and the Drunkard Hu  32k PRG / 32k CHR       H       Colour Dreams (11)
Masuzoe Youiti no Asamade       512k PRG / 0k CHR       H       MMC3 (4)
Masyou                          128k PRG / 0k CHR       H       Nina-1 (34)
Maten Douji                     128k PRG / 128k CHR     V       MMC3 (4)
Matsumoto Tooru no Kabusiki Hissyougaku         256k PRG / 0k CHR       V       UNROM (2)
Matsumoto Tooru no Kabusiki Hissyougaku 2       256K PRG / 0k CHR       V       MMC1 (1)
Max Warrior                     128k PRG / 128k CHR     V       MMC3 (4)
McKids                          128k PRG / 128k CHR     H       MMC3 (4)
Mechanized Attack               64k PRG / 128k CHR      H       MMC1 (1)
Mega Man                        128k PRG / 0k CHR       V       UNROM (2)
Mega Man 2                      256k PRG / 0k CHR       V       MMC1 (1)
Mega Man 3                      256k PRG / 128k CHR     H       MMC3 (4)
Mega Man 4                      512k PRG / 0k CHR       H       MMC3 (4)
Mega Man 4 (PAL)                512k PRG / 0k CHR       H       MMC3 (4)
Mega Man 5                      256k PRG / 256k CHR     H       MMC3 (4)
Mega Man 6                      512k PRG / 0k CHR       H       MMC3 (4)
Megami Tensei                   128k PRG / 128k CHR     V       MMC3 (4)
Megami Tensei 2                 256k PRG / 256k CHR     V       Namcot 106 (19)
Meiji Ishin                     256k PRG / 0k CHR       H       MMC1 (1)
Meikyu Jima                     128k PRG / 128k CHR     H       Irem G101 (32)
Meikyu Kumikyoko                32k PRG / 32k CHR       V       CNROM (3)
Meimom Takonishi Ouendan        128k PRG / 128k CHR     H       MMC3 (4)
Meitantei Holmes                256k PRG / 0k CHR       H       MMC1 (1)
Meitantei Holmes Kori no London Satsujin Jiken  256k PRG / 0k CHR       H       UNROM (2)
Melville's Flame                128k PRG / 128k CHR     V       MMC1 (1)
Mendel Palace                   128k PRG / 128k CHR     V       MMC3 (4)
Metal Fighter                   32k PRG / 32k CHR       H       Colour Dreams (11)
Metal Flame Psybuster           128k PRG / 128k CHR     V       MMC1 (1)
Metal Gear                      128k PRG / 0k CHR       V       UNROM (2)
Metal Gear (J)                  128k PRG / 0k CHR       H       UNROM (2)
Metal Max                       256k PRG / 256k CHR     H       MMC3 (4)
Metal Mech                      128k PRG / 128k CHR     V       MMC1 (1)
Metal Slader Glory              512k PRG / 512k CHR     V       MMC5 (5)
Metal Storm                     128k PRG / 256k CHR     H       MMC3 (4)
Metal Storm (J)                 128k PRG / 256k CHR     V       MMC3 (4)
Metro Cross                     32k PRG / 32k CHR       V       MMC3 (4)
Metroid                         128k PRG / 0k CHR       V       MMC1 (1)
Mezase Top Pro                  256k PRG / 128k CHR     H       SS8806 (18)        
Mickey Mouse                    32k PRG / 32k CHR       V       CNROM (3)
Mickey Mousecapade              32k PRG / 32k CHR       V       CNROM (3)
Micro Machines                  256k PRG / 0k CHR       V       Camerica (71)
Micro Machines [Aladdin Ver.]   256k PRG / 0k CHR       V       Camerica (71)
Might and Magic                 256k PRG / 256k CHR     H       MMC3 (4)
Might and Magic (J)             256k PRG / 256k CHR     H       MMC3 (4)
Mighty Bomb Jack (J)            32k PRG / 8k CHR        H       ---- (0)
Mighty Final Fight              128k PRG / 128k CHR     H       MMC3 (4)
Mighty Final Fight (J)          128k PRG / 128k CHR     H       MMC3 (4)
Mike Tyson's Punch-Out          128k PRG / 128k CHR     V       MMC2 (9)
Millipede                       16k PRG / 8k CHR        H       ---- (0)
Milon's Secret Castle           32k PRG / 32k CHR       V       CNROM (3)
Mindseeker                      128k PRG / 144k CHR     H       Namcot 106 (19) <--bad dump?
Minelvation Saga                128k PRG / 128k CHR     H       MMC3 (4)
Mini-Putt                       128k PRG / 128k CHR     H       MMC1 (1)        
Minnie no Talabou Nakayosi Daisakusen   32k PRG / 32k CHR       H       CNROM (3)
Miracle Piano System            256k PRG / 64k CHR      H       MMC1 (1)
Miracle Ropit's Adventure in 2100       128k PRG / 0k CHR       V       UNROM (2)
Mirai Sensei Lios               256k PRG / 0k CHR       V       MMC1 (1)
Mission Cobra                   32k PRG / 16k CHR       V       Colour Dreams (11)
Mission Impossible              128k PRG / 128k CHR     H       MMC3 (4)
Mission Impossible (PAL)        128k PRG / 128k CHR     H       MMC3 (4)
Mitsume ga Tooru                128k PRG / 128k CHR     V       MMC3 (4)        
Mizusima Senji no Dai Koushien  256k PRG / 0k CHR       V       MMC1 (1)
Moai Kun                        32k PRG / 32k CHR       V       CNROM (3)
Mobile Suit Gundam Z (hacked)   256k PRG / 0k CHR       H       (15)
Moeru Oniisan                   128k PRG / 128k CHR     V       MMC1 (1)
Moeru Pro Baseball '90		256k PRG / 128k CHR	H	SS8806 (18)
Momotarou Densetsu              256k PRG / 0k CHR       H       MMC1 (1)
Momotarou Densetsu Gaiden       512k PRG / 0k CHR       H       MMC3 (4)        
Momotarou Dentetsu              256k PRG / 0k CHR       V       UNROM (2)
Money Game, The [Hacked]        256k PRG / 0k CHR       H       FFE F4xxx (6)
Money Game 2, The               128k PRG / 128k CHR     H       MMC1 (1)
Monopoly                        128k PRG / 128k CHR     H       MMC1 (1)
Monopoly (J)                    256k PRG / 0k CHR       H       MMC1 (1)
Monster In My Pocket            128k PRG / 128k CHR     H       MMC3 (4)
Monster In My Pocket (PAL)      128k PRG / 128k CHR     H       MMC3 (4)
Monster Maker                   256k PRG / 0k CHR       H       MMC1 (1)
Monster Party                   128k PRG / 128k CHR     H       MMC1 (1)
Moon Crystal                    256k PRG / 256k CHR     H       MMC3 (4)
Morita no Shogi                 128k PRG / 8k CHR       H       MMC1 (1)
Mortal Kombat 3                 128k PRG / 512k CHR     V       PCJY?? (90)
Mother                          256k PRG / 128k CHR     H       MMC3 (4)
Motocross Champion              128k PRG / 128k CHR     H       MMC1 (1)
Motor City Patrol               128k PRG / 128k CHR     H       MMC1 (1)
Mottono Abunai Deka             128k PRG / 0k CHR       H       UNROM (2)
Mouryou Senki Madara            256k PRG / 256k CHR     V       VRC6v (26)
Ms. Pac-Man                     32k PRG / 8k CHR        H       ---- (0)
Mule                            128k PRG / 0k CHR       V       MMC1 (1)
Muppets Adventure               128k PRG / 0k CHR       V       MMC1 (1)
Murder Club                     128k PRG / 128k CHR     V       MMC3 (4)
Musashi no Bouken               128k PRG / 128k CHR     V       MMC1 (1)
Musashi no Ken                  32k PRG / 32k CHR       V       CNROM (3)
MUSCLE                          16k PRG / 32k CHR       V       CNROM (3)
My Life, My Love                256k PRG / 256k CHR     H       MMC3 (4)
Mystery Quest                   32k PRG / 32k CHR       V       CNROM (3)


Nagagutu wo Haita Neko          32k PRG / 32k CHR       V       CNROM (3)
Naitou 9 Dan Shogi Hiden	16k PRG / 8k CHR	H	---- (0)
Namco Classic                   256k PRG / 256k CHR     H       Namcot 106 (19)
Nangoku Seirei Spy vs Spy       128k PRG / 0k CHR       V       UNROM (2)        
Nantteta Baseball               128k PRG / 128k CHR     H       Sunsoft 4 (68)
NARC                            128k PRG / 0k CHR       H       AOROM (7)
Navy Blue                       128k PRG / 0k CHR       H       MMC1 (1)
Nekketsu Kakutou Densetsu       128k PRG / 128k CHR     V       MMC3 (4)
Nekketsu Kouha Kunio Kun        128k PRG / 0k CHR       V       UNROM (2)        
Nekketsu Koukou Dodgeball       128k PRG / 128k CHR     H       MMC1 (1)
Nekketsu Koukou Soccer          128k PRG / 128k CHR     V       MMC3 (4)
NES Open Tournament Golf        256k PRG / 0k CHR       H       MMC1 (1)
NES Play Action Football        128k PRG / 128k CHR     H       MMC3 (4)        
New Zealand Story, The          128k PRG / 128k CHR     H       MMC3 (4)
NFL Football                    128k PRG / 0k CHR       V       UNROM (2)        
Nightmare on Elm Street, A      128k PRG / 0k CHR       H       AOROM (7)
Nightshade                      256k PRG / 256k CHR     H       MMC3 (4)
Niji no Silkroad                256k PRG / 128k CHR     V       MMC3 (4)
Ningen Heiki Dead Fox		128k PRG / 128k CHR	V	MMC3 (4)
Ninja Cop Saizou                128k PRG / 128k CHR     H       MMC1 (1)
Ninja Gaiden                    128k PRG / 128k CHR     H       MMC1 (1)
Ninja Gaiden 2                  128k PRG / 128k CHR     H       MMC3 (4)
Ninja Gaiden 3                  128k PRG / 128k CHR     H       MMC3 (4)
Ninja Jajamaru Kun              32k PRG / 16k CHR       V       CNROM (3)
Ninja Kid                       32k PRG / 32k CHR       V       CNROM (3)
Ninja Kun                       16k PRG / 8k CHR        V       ---- (0)
Ninja Kun Asyura no Saiyou      128k PRG / 0k CHR       V       UNROM (2)
Ninja Rahoi                     512k PRG / 0k CHR       V       MMC1 (1)
Ninja Ryukenden                 128k PRG / 128k CHR     V       MMC1 (1)
Ninja Ryukenden 2               128k PRG / 128k CHR     V       MMC3 (4)
Ninja Ryukenden 3               128k PRG / 128k CHR     H       MMC3 (4)
Nintendo World Cup              128k PRG / 128k CHR     H       MMC3 (4)
Nintendo World Cup (PAL)        128k PRG / 128k CHR     H       MMC3 (4)
Noah's Ark                      128k PRG / 128k CHR     H       MMC3 (4)
Nobunaga no Yabou Zenkokuban    256k PRG / 0k CHR       V       MMC1 (1)
Nobunaga's Ambition             256k PRG / 0k CHR       H       MMC1 (1)
Nobunaga's Ambition 2           256k PRG / 128k CHR     H       MMC5 (5)
North and South                 128k PRG / 128k CHR     H       MMC3 (4)
Nuts and Milk                   16k PRG / 8k CHR        H       ---- (0)
Nyankies                        128k PRG / 128k CHR     H       MMC3 (4)


Obake no Qtarou                 32k PRG / 8k CHR        V       ---- (0)
Obochama Kun                    128k PRG / 128k CHR     H       MMC1 (1)
Ohotuku Ni Kiyu                 256k PRG / 0k CHR       V       MMC1 (1)        
Oishinbo                        128k PRG / 128k CHR     V       MMC1 (1)
Olympus no Tatakai              128k PRG / 0k CHR       V       UNROM (2)
Onyanko Town                    32k PRG / 8k CHR        V       ---- (0)
Operation Wolf                  128k PRG / 128k CHR     V       MMC1 (1)
Orb 3D                          64k PRG / 128k CHR      V       MMC1 (1)
Oryu San                        32k PRG / 32k CHR       H       CNROM (3)        
Osomatsu Kun                    128k PRG / 128k CHR     V       MMC1 (1)
Otaku no Seiza                  256k PRG / 128k CHR     H       MMC3 (4)
Othello (J)                     32k PRG / 8k CHR        V       ---- (0)
Othello (Disk conversion)       32k PRG / 8k CHR        H       ---- (0)  (Loads using .sav file)
Outlanders                      128k PRG / 0k CHR       V       UNROM (2)
Over Horizon                    128k PRG / 128k CHR     H       MMC3 (4)
Overlord                        256k PRG / 0k CHR       H       MMC1 (1)


Pac-Land                        32k PRG / 8k CHR        V       ---- (0)
Pac-Man                         16k PRG / 8k CHR        H       ---- (0)
Pac-Man (Unlicensed Version)    16k PRG / 8k CHR        J       ---- (0)
Pac-Man (J)                     16k PRG / 8k CHR        H       ---- (0)
Pachi Slot Adventure 2          128k PRG / 128k CHR     V       MMC3 (4)
Pachi Slot Adventure 3          128k PRG / 128k CHR     H       MMC3 (4)
Pachicom                        32k PRG / 8k CHR        H       ---- (0)
Pachinko Daisakusen             128k PRG / 128k CHR     V       MMC1 (1)
Pachinko Daisakusen 2           128k PRG / 128k CHR     H       MMC1 (1)
Pachio Kun 2                    256k PRG / 0k CHR       V       MMC1 (1)
Pachio Kun 3                    256k PRG / 128k CHR     H       MMC3 (4)
Pachio Kun 4                    512k PRG / 0k CHR       H       MMC3 (4)
Pachio Kun 5 (Pachio Kun Jr)    256k PRG / 128k CHR     H       MMC3 (4)
Palamedes (J)                   32k PRG / 32k CHR       H       MMC1 (1)
Palamedes 2                     32k PRG / 32k CHR       V       MMC1 (1)
Panic Restaurant                128k PRG / 128k CHR     H       MMC3 (4)
Paperboy                        32k PRG / 32k CHR       H       CNROM (3)
Paperboy 2                      256k PRG / 0k CHR       H       UNROM (2)
Parallel World                  128k PRG / 128k CHR     H       MMC3 (4)
Parasol Henbei                  128k PRG / 128k CHR     H       MMC3 (4)
Paris Dakar Rally [Hacked]      128k PRG / 32k CHR      V       FFE F3xxx (8)
Parman                          128k PRG / 128k CHR     H       Irem G101 (32)
Parodius [Hacked]               128k PRG / 128k CHR     H       FFE F8xxx (17)
Parodius (PAL)                  128k PRG / 128k CHR     H       MMC3 (4)
Parutena no Kagami              128k PRG / 0k CHR       V       MMC1 (1)
Peepar Time                     32k PRG / 16k CHR       H       CNROM (3)
Penguin Kun Wars                32k PRG / 8k CHR        V       ---- (0)
Perfect Bowl                    128k PRG / 32k CHR      H       MMC1 (1)
Pesterminator                   64k PRG / 64k CHR       V       Colour Dreams (11)
Peter Pan and the Pirates       128k PRG / 128k CHR     H       MMC1 (1)
Phantom Fighter                 256k PRG / 0k CHR       V       MMC1 (1)
Pictionary                      128k PRG / 128k CHR     V       MMC1 (1)
Pinball                         16k PRG / 8k CHR        H       ---- (0)
Pinball Quest                   128k PRG / 128k CHR     H       MMC1 (1)
Pinbot                          128k PRG / 56k CHR      V       TQROM (119)   <--bad dump
Pinbot (PAL)                    128k PRG / 64k CHR      H       TQROM (119)
Pipe Dream                      32k PRG / 32k CHR       V       CNROM (3)
Pirates                         128k PRG / 128k CHR     H       MMC1 (1)
Pizza Pop                       128k PRG / 128k CHR     H       SS8806 (18)
Platoon                         128k PRG / 128k CHR     H       MMC1 (1)
Plazma Ball                     128k PRG / 128k CHR     H       SS8806 (18)
Pole to Finish                  128k PRG / 128k CHR     V       MMC1 (1)
Poo-Yan                         16k PRG / 8k CHR        V       ---- (0)
Pool of Radiance                512k PRG / 128k CHR     V       MMC3 (4)
Pool of Radiance (J)		512k PRG / 128k CHR	V	MMC3 (4)
Popeye                          16k PRG / 8K CHR        V       ---- (0)
Popeye Eigo Asobi               16k PRG / 8k CHR        V       ---- (0)
Portpia Renzoku Satsujin Jiken  32k PRG / 8k CHR        V       ---- (0)
POW                             128k PRG / 128k CHR     H       MMC1 (1)
Power Blade                     128k PRG / 128k CHR     H       MMC3 (4)
Power Blade 2                   128k PRG / 128k CHR     H       MMC3 (4)
Power Punch 2                   128k PRG / 256k CHR     H       MMC3 (4)
Predator                        128k PRG / 128k CHR     V       MMC1 (1)
President no Sentaku            256k PRG / 0k CHR       H       MMC1 (1)
Prince of Persia                128k PRG / 0k CHR       V       UNROM (2)
Prince Valiant                  128k PRG / 128k CHR     H       MMC1 (1)
Princess Tomato in Salad Kingdom256k PRG / 0k CHR       H       MMC1 (1)
Pro Wrestling                   128k PRG / 0k CHR       V       UNROM (2)
Pro Yakyuu Satsujin Jiken       256k PRG / 0k CHR       V       UNROM (2)         
Probotector                     128k PRG / 0k CHR       V       UNROM (2)
Probotector 2                   128k PRG / 128k CHR     H       MMC3 (4)
Project Q                       256k PRG / 0k CHR       V       MMC3 (4)
Punch-Out                       128k PRG / 128k CHR     V       MMC2 (9)
Punch-Out Shohinban             128k PRG / 128k CHR     H       MMC2 (9)
Punisher, The                   128k PRG / 128k CHR     H       MMC3 (4)
Puss N' Boots                   128k PRG / 0k CHR       V       UNROM (2)
Puznic                          32k PRG / 32k CHR       V       CNROM (3)        
Puzslot                         128k PRG / 128k CHR     H       MMC1 (1)
Puzzle                          32k PRG / 32k CHR       H       CNROM (3)
Pyramid                         32k PRG / 8k CHR        V       ---- (0)


Q-Bert                          32k PRG / 32k CHR       H       CNROM (3)
Quarth                          32k PRG / 32k CHR       H       CNROM (3)
Quattro Adventure               256k PRG / 0k CHR       V       Camerica (71)
Quattro Sports                  256k PRG / 0k CHR       V       Camerica (71)
Quest of Kai, The               128k PRG / 64k CHR      V       MMC3 (4)
Quinty                          128k PRG / 128k CHR     H       MMC3 (4)


Racket Attack                   256k PRG / 128k CHR     H       MMC1 (1)
Race America                    128k PRG / 128k CHR     H       MMC1 (1)
Rad Racer                       128k PRG / 0k CHR       H       MMC1 (1)
Rad Racer (PAL)                 128k PRG / 0k CHR       H       MMC1 (1)
Rad Racer 2                     64k PRG / 64k CHR       H       MMC3 (4)
Radia Senki                     256k PRG / 128k CHR     V       MMC3 (4)
Raf World                       128k PRG / 128k CHR     V       MMC1 (1)
Raid 2020                       64k PRG / 32k CHR       V       Colour Dreams (11)
Raid on Bungling Bay		16k PRG / 8k CHR	V	---- (0)
Raid on Bungling Bay (J)        16k PRG / 8k CHR        V       ---- (0)
Rainbow Island                  128k PRG / 0k CHR       H       UNROM (2)
Rambo                           128k PRG / 0k CHR       V       UNROM (2)
Rambo (J)                       128k PRG / 0k CHR       V       UNROM (2)
Rampage                         128k PRG / 64k CHR      H       MMC3 (4)
Rampart                         128k PRG / 128k CHR     H       MMC3 (4)
Rampart (J)                     128k PRG / 0k CHR       H       UNROM (2)
Rasarulsii no Child's Quest	128k PRG / 64k CHR	V	MMC3 (4)
RBI Baseball                    64k PRG / 128k CHR      V       MMC3 (4)
RBI Baseball 2                  128k PRG / 128k CHR     V       MMC3 (4)
RBI Baseball 3                  128k PRG / 64k CHR      H       MMC3 (4)
RC Pro-Am                       32k PRG / 32k CHR       H       MMC1 (1)
RC Pro-Am (PAL)                 32k PRG / 32k CHR       H       MMC1 (1)
RC Pro-Am 2                     256k PRG / 0k CHR       H       AOROM (7)
Recca: Summer Carnival '92      128k PRG / 128k CHR     H       MMC3 (4)
Redalerma 2                     128k PRG / 128k CHR     V       MMC3 (4)
Reigen Dousi                    256k PRG / 0k CHR       V       MMC1 (1)
Remote Control                  128k PRG / 128k CHR     V       MMC1 (1)
Ren and Stimpy:  Buckaroo$      128k PRG / 128k CHR     H       MMC3 (4)
Renegade                        128k PRG / 0k CHR       V       UNROM (2)
Rescue:  The Embassy Mission    128k PRG / 128k CHR     H       MMC1 (1)
Ring King                       64k PRG / 128k CHR      V       MMC3 (4)
River City Ransom               128k PRG / 128k CHR     H       MMC3 (4)
Road Fighter                    16k PRG / 8k CHR        H       ---- (0)
Road Man                        128k PRG / 128k CHR     V       MMC1 (1)
Road Runner                     64k PRG / 128k CHR      H       MMC3 (4)
Roadblasters                    128k PRG / 128k CHR     H       MMC1 (1)
Robin Hood                      256k PRG / 0k CHR       H       MMC1 (1)
Robocco Wars                    256k PRG / 128k CHR     H       MMC3 (4)
Robocop                         128k PRG / 128k CHR     H       MMC3 (4)
Robocop 2                       128k PRG / 128k CHR     V       MMC1 (1)
Robocop 3                       128k PRG / 128k CHR     V       MMC1 (1)
Robocop Vs Terminator           128k PRG / 128k CHR     H       MMC3 (4)
Robot Block (Stack-Up)          32k PRG / 8k CHR        H       ---- (0)
Robot Gyro (Gyromite)           32k PRG / 8k CHR        V       ---- (0)
Robowarrior                     128k PRG / 0k CHR       H       UNROM (2)
Rock N' Ball                    128k PRG / 64k CHR      H       MMC3 (4)       
Rocket Ranger                   256k PRG / 0k CHR       H       MMC1 (1)
Rocketeer, The                  256k PRG / 0k CHR       V       MMC1 (1)
Rockin' Kats                    128k PRG / 128k CHR     H       MMC3 (4)
Rockman                         128k PRG / 0k CHR       V       UNROM (2)
Rockman 2                       256k PRG / 0k CHR       V       MMC1 (1)
Rockman 3                       256k PRG / 128k CHR     V       MMC3 (4)
Rockman 4                       512k PRG / 0k CHR       V       MMC3 (4)
Rockman 5                       256k PRG / 256k CHR     H       MMC3 (4)
Rockman 6                       512k PRG / 0k CHR       V       MMC3 (4)
Roger Clemens MVP Baseball      128k PRG / 256k CHR     H       MMC3 (4)
Rollerball                      128k PRG / 128k CHR     H       MMC1 (1)
Rollergames                     128k PRG / 128k CHR     H       MMC3 (4)
Rolling Thunder                 128k PRG / 128k CHR     H       MMC3 (4)
Rolling Thunder (J)             128k PRG / 256k CHR     H       Namcot 106 (19)
Romance of the Three Kingdoms   256k PRG / 0k CHR       V       MMC1 (1)
Romance of the Three Kingdoms 2 256k PRG / 256k CHR     H       MMC5 (5)
Romancia                        128k PRG / 0k CHR       V       MMC1 (1)
Roundball                       128k PRG / 128k CHR     H       MMC3 (4)
Route 16 Turbo                  32k PRG / 8k CHR        H       ---- (0)
RPG Life Game                   256k PRG / 128k CHR     H       MMC3 (4)
Rush N' Attack                  128k PRG / 0k CHR       V       UNROM (2)
Rush N' Attack (PAL)            128k PRG / 0k CHR       V       UNROM (2)
Rygar                           128k PRG / 0k CHR       V       UNROM (2)


Sabaku no Kitune                128k PRG / 128k CHR     V       MMC1 (1)
Saint Seiya [hacked]            256k PRG / 0k CHR       V       FFE F4xxx (6)
Saint Seiya 2 [hacked?]         128k PRG / 128k CHR     H       MMC1 (1)
Saiyuuki World                  128k PRG / 0k CHR       V       UNROM (2)
Saiyuuki World 2 [Hacked]       128k PRG / 128k CHR     V       FFE F8xxx (17)
Sakigake Otoko Jyuku            128k PRG / 128k CHR     H       Bandai (16)
Salamander                      128k PRG / 0k CHR       V       UNROM (2)
Sanada Jyuuyuusi                128k PRG / 128k CHR     H       MMC1 (1)
Sangokusi                       256k PRG / 0k CHR       V       MMC1 (1)
Sangokusi Chugen no Hasya       128k PRG / 128k CHR     V       Namcot 106 (19)
Sangokusi Chugen no Hasya 2 [Hacked]    256k PRG / 256k CHR     H       TC190V (48)
Sanma no Meitantei              128k PRG / 64k CHR      H       MMC3 (4)
Sanrio Carnival                 32k PRG / 32k CHR       V       CNROM (3)
Sanrio Cup Ponpon Bare          32k PRG / 32k CHR       V       CNROM (3)
Sansa-Rana-Ga                   256k PRG / 128k CHR     V       MMC3 (4)
